source_row,row_text,A,B,C,D
105,0x20 | 0x0000000000000000 | 64-bit bitmask. Not used by player GObj.,0x20,0x0000000000000000,64-bit bitmask. Not used by player GObj.,
106,0x28 | Pointer to JObj,0x28,Pointer to JObj,,
107,0x2C | Pointer to Player Character Data (see below table) | Usually 0x60 away from the start of Player Entity Struct,0x2C,Pointer to Player Character Data (see below table),Usually 0x60 away from the start of Player Entity Struct,
108,0x30 | Pointer to Destructor Function | 0x8006DABC(entity*),0x30,Pointer to Destructor Function,0x8006DABC(entity*),
109,0x34 | Pointer to Linked List,0x34,Pointer to Linked List,,
111,"START Player Character Data | Traditionally, the game points to this for anything related to Char Data, as sometimes the data does not immediately follow the entity struct",START Player Character Data,,"Traditionally, the game points to this for anything related to Char Data, as sometimes the data does not immediately follow the entity struct",
112,0x00 | Entity Struct Pointer | Points back to 0x00 of the Entity,0x00,Entity Struct Pointer,Points back to 0x00 of the Entity,
113,"0x04 | Player Index (Internal ID) | Word. Used for bone lookups, such as prior to spawning JObjs at a specified bone",0x04,Player Index (Internal ID),"Word. Used for bone lookups, such as prior to spawning JObjs at a specified bone",
114,0x08 | Current Spawn # | The current life is the nth character spawned since the beginning of the match,0x08,Current Spawn #,The current life is the nth character spawned since the beginning of the match,
115,0x0C | Player Slot | Byte,0x0C,Player Slot,Byte,
116,0x0D | Byte,0x0D,,Byte,
117,0x0E | Byte,0x0E,,Byte,
118,0x0F | Byte,0x0F,,Byte,
119,0x10 | Action State | The value at this address indicates the action state of the character. Modifying this alone does nothing.,0x10,Action State,The value at this address indicates the action state of the character. Modifying this alone does nothing.,
120,0x14 | Animation State | The animation to occur after the current one ends. Only has an effect if the current action state is set to loop.,0x14,Animation State,The animation to occur after the current one ends. Only has an effect if the current action state is set to loop.,
121,0x18 | 0x155 | Move table divider constant?,0x18,0x155,Move table divider constant?,
122,0x1C | Shared Action State Table Pointer,0x1C,Shared Action State Table Pointer,,
123,0x20 | Move Table Pointer | Player dependent move table pointer,0x20,Move Table Pointer,Player dependent move table pointer,
124,0x24 | Character's action state hitbox/animation pointer,0x24,Character's action state hitbox/animation pointer,,
125,0x28 | End of hitbox data pointer?,0x28,End of hitbox data pointer?,,
126,"0x2C | Facing direction | Float. 1 is right, -1 is left",0x2C,Facing direction,"Float. 1 is right, -1 is left",
127,0x30 | Facing direction | Facing direction at the beginning of the current Action State,0x30,Facing direction,Facing direction at the beginning of the current Action State,
128,0x34 | Player Scale | Read on map load.,0x34,Player Scale,Read on map load.,
129,0x38 | Player Scale | Read on map load. Set according to 0x94. Affects physics. [Affects hitbox size?],0x38,Player Scale,Read on map load. Set according to 0x94. Affects physics. [Affects hitbox size?],
130,0x3C | Player Depth Scale | Read on map load. Changes width on Z-Axis,0x3C,Player Depth Scale,Read on map load. Changes width on Z-Axis,
131,0x40 | Pointer to Next Linked List | Traditionally 0x00000000. THIS IS NOT ALWAYS CONSISTENT,0x40,Pointer to Next Linked List,Traditionally 0x00000000. THIS IS NOT ALWAYS CONSISTENT,
132,0x44 | Pointer to 0x40 / Pointer to Prev Linked List,0x44,Pointer to 0x40 / Pointer to Prev Linked List,,
133,0x48 | Length of Linked List | Always 0x40 (64)?,0x48,Length of Linked List,Always 0x40 (64)?,
134,"0x74 | Acceleration X | Float. The Acceleration vars are added to their respective Velocity (self-induced) counterparts once, then cleared immediately. Stick-influence functions typically use Acceleration to alter Velocity.",0x74,Acceleration X,"Float. The Acceleration vars are added to their respective Velocity (self-induced) counterparts once, then cleared immediately. Stick-influence functions typically use Acceleration to alter Velocity.",
