source_row,row_text,A,B,C
32,Camera Struct | Typically found at 80452C68,Camera Struct,,Typically found at 80452C68
33,0x00 | Pointer to Entity Struct,0x00,Pointer to Entity Struct,
34,"0x04 | Camera Type | Int. Index used by 803BCB18. 0 = Normal, 1 = Pause, 2 = One Player View (Off-Center), 3 = One Player View (Centered), 4 = Fixed, 5 = Crazy, 6 = Demo, 8 = Developer Locked",0x04,Camera Type,"Int. Index used by 803BCB18. 0 = Normal, 1 = Pause, 2 = One Player View (Off-Center), 3 = One Player View (Centered), 4 = Fixed, 5 = Crazy, 6 = Demo, 8 = Developer Locked"
35,0x08 | Background Color | Byte. First 6 bits are hex color code,0x08,Background Color,Byte. First 6 bits are hex color code
36,0x0C | View Distance? | Float,0x0C,View Distance?,Float
37,0x10 | Distance to Background? | Float,0x10,Distance to Background?,Float
38,"0x14 | Pan Angle | Float. + = Right, - = Left.",0x14,Pan Angle,"Float. + = Right, - = Left."
39,"0x18 | Tilt Angle | Float. + = Up, - = Down.",0x18,Tilt Angle,"Float. + = Up, - = Down."
40,"0x1C | Tilt Angle 2? | Float. Only seems to tilt downward. Setting it causes the camera to jump to P1, if unpaused",0x1C,Tilt Angle 2?,"Float. Only seems to tilt downward. Setting it causes the camera to jump to P1, if unpaused"
41,0x2C | Pan Around Point Angle? | Float,0x2C,Pan Around Point Angle?,Float
42,0x30 | Tilt Around Point Angle? | Float,0x30,Tilt Around Point Angle?,Float
43,0x34 | Depth | Float. + = Further Away,0x34,Depth,Float. + = Further Away
44,0x3C | Tilt Around Point Angle (Repeated) | Float.,0x3C,Tilt Around Point Angle (Repeated),Float.
45,0x40 | Depth (Repeated) | Float. Upper Limit set by Stage Data.,0x40,Depth (Repeated),Float. Upper Limit set by Stage Data.
46,0x44 | Field of View | Float,0x44,Field of View,Float
47,"0x84 | X Translation | Float. + = Right, - = Left.",0x84,X Translation,"Float. + = Right, - = Left."
48,"0x88 | Y Translation | Float. + = Up, - = Down.",0x88,Y Translation,"Float. + = Up, - = Down."
49,0x3D8 | Tracking X-Coordinate | Float,0x3D8,Tracking X-Coordinate,Float
50,0x3DC | Tracking Y-Coordinate | Float,0x3DC,Tracking Y-Coordinate,Float
51,0x3E0 | Tracking Z-Coordinate | Float,0x3E0,Tracking Z-Coordinate,Float
