source_file,line,section,address,size,virtual_address,flags,name,is_placeholder
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,118,.text,0x8000be40,0x0000008c,0x8000be40,0,HSD_AObjGetEndFrame,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,119,.text,0x8000becc,0x00000124,0x8000becc,0,zz_000becc_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,120,.text,0x8000bff0,0x0000008c,0x8000bff0,0,zz_000bff0_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,121,.text,0x8000c07c,0x0000006c,0x8000c07c,0,zz_000c07c_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,122,.text,0x8000c0e8,0x00000078,0x8000c0e8,0,zz_000c0e8_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,123,.text,0x8000c160,0x00000060,0x8000c160,0,Zero_AreaLength,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,124,.text,0x8000c1c0,0x00000068,0x8000c1c0,0,"JObjAttach_OnlyPosition(r3=JObjToAttach,r4=BonesJObj)",false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,125,.text,0x8000c228,0x00000068,0x8000c228,0,"JObjAttach_OnlyScale(r3=JObjToAttach,r4=BonesJObj)",false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,126,.text,0x8000c290,0x00000068,0x8000c290,0,"JObjAttach_OnlyRotation(r3=JObjToAttach,r4=BonesJObj)",false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,127,.text,0x8000c2f8,0x00000098,0x8000c2f8,0,"JObjAttach_Rotation+Postion(r3=JObjToAttach,r4=BonesJObj)",false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,128,.text,0x8000c390,0x00000090,0x8000c390,0,JObjDetachObjectFromBone(r3=JObjToDetach),false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,129,.text,0x8000c420,0x00000070,0x8000c420,0,zz_000c420_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,130,.text,0x8000c490,0x0000032c,0x8000c490,0,zz_000c490_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,131,.text,0x8000c7bc,0x000000ac,0x8000c7bc,0,JObj_ResetLocalTranslation,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,132,.text,0x8000c868,0x000002f8,0x8000c868,0,zz_000c868_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,133,.text,0x8000cb60,0x000000fc,0x8000cb60,0,zz_000cb60_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,134,.text,0x8000cc5c,0x00000030,0x8000cc5c,0,zz_000cc5c_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,135,.text,0x8000cc8c,0x00000018,0x8000cc8c,0,zz_000cc8c_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,136,.text,0x8000cca4,0x00000018,0x8000cca4,0,zz_000cca4_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,137,.text,0x8000ccbc,0x000000a4,0x8000ccbc,0,zz_000ccbc_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,138,.text,0x8000cd60,0x00000030,0x8000cd60,0,zz_000cd60_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,139,.text,0x8000cd90,0x00000018,0x8000cd90,0,zz_000cd90_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,140,.text,0x8000cda8,0x00000018,0x8000cda8,0,zz_000cda8_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,141,.text,0x8000cdc0,0x00000070,0x8000cdc0,0,zz_000cdc0_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,142,.text,0x8000ce30,0x00000010,0x8000ce30,0,zz_000ce30_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,143,.text,0x8000ce40,0x00000010,0x8000ce40,0,zz_000ce40_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,144,.text,0x8000ce50,0x00000090,0x8000ce50,0,exp,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,145,.text,0x8000cee0,0x00000094,0x8000cee0,0,tanf,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,146,.text,0x8000cf74,0x00000094,0x8000cf74,0,zz_000cf74_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,147,.text,0x8000d008,0x00000140,0x8000d008,0,Math_GetAngleFromOrigin,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,148,.text,0x8000d148,0x000001a4,0x8000d148,0,zz_000d148_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,149,.text,0x8000d2ec,0x000000c4,0x8000d2ec,0,Math_AngleSomething?,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,150,.text,0x8000d3b0,0x000000bc,0x8000d3b0,0,Math_AngleSomething,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,151,.text,0x8000d46c,0x00000034,0x8000d46c,0,Math_Add3DVector,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,152,.text,0x8000d4a0,0x00000024,0x8000d4a0,0,Math_Add2DVector,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,153,.text,0x8000d4c4,0x00000034,0x8000d4c4,0,Math_Subtract3DVector(return=r3),false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,154,.text,0x8000d4f8,0x00000038,0x8000d4f8,0,Math_Subtract3DVector(return=r5),false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,155,.text,0x8000d530,0x0000008c,0x8000d530,0,zz_000d530_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,156,.text,0x8000d5bc,0x00000064,0x8000d5bc,0,sqrt,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,157,.text,0x8000d620,0x00000170,0x8000d620,0,Math_Unk,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,158,.text,0x8000d790,0x00000164,0x8000d790,0,Math_GetTopAngleOfWallAndPlayerCollision,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,159,.text,0x8000d8f4,0x0000020c,0x8000d8f4,0,Math_Camera_CorrectPositionFromBoundaries,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,160,.text,0x8000db00,0x0000016c,0x8000db00,0,Math_Something,false
